SALEDATE,WHSALNAME,CMPNAME,LARGENAME_API,MIDNAME_API,SMALLNAME,AVGAMT,STD,TOTQTY,MY_TARGET_ITEM_NAME,MY_TARGET_LARGENAME,MY_TARGET_MIDNAME,WHSALCD
20250116,천안,천안농협(공),엽경채류,배추,쌈배추,10600,10kg 상자,50,배추,엽경채류,배추,340101
20250116,천안,천안농협(공),엽경채류,배추,쌈배추,15500,8kg 상자,128,배추,엽경채류,배추,340101
20250117,천안,천안농협(공),엽경채류,배추,기타배추,11000,1kg 상자,9,배추,엽경채류,배추,340101
20250117,천안,천안농협(공),엽경채류,배추,쌈배추,9575,8kg 상자,888,배추,엽경채류,배추,340101
20250117,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,120,배추,엽경채류,배추,340101
20250117,천안,천안농협(공),엽경채류,배추,쌈배추,12500,10kg 상자,500,배추,엽경채류,배추,340101
20250117,천안,천안농협(공),엽경채류,배추,쌈배추,18000,8kg 상자,32,배추,엽경채류,배추,340101
20250118,천안,천안농협(공),엽경채류,배추,기타배추,8037.5,1kg 상자,20,배추,엽경채류,배추,340101
20250118,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,720,배추,엽경채류,배추,340101
20250118,천안,천안농협(공),엽경채류,배추,쌈배추,9666.667,10kg 상자,1140,배추,엽경채류,배추,340101
20250118,천안,천안농협(공),엽경채류,배추,쌈배추,10300,10kg 상자,100,배추,엽경채류,배추,340101
20250118,천안,천안농협(공),엽경채류,배추,쌈배추,14666.667,8kg 상자,200,배추,엽경채류,배추,340101
20250120,천안,천안청과㈜,엽경채류,배추,저장배추,8750,12kg 상자,1920,배추,엽경채류,배추,340101
20250120,천안,천안농협(공),엽경채류,배추,기타배추,60000,1kg 상자,1,배추,엽경채류,배추,340101
20250120,천안,천안청과㈜,엽경채류,배추,저장배추,13833.333,12kg 상자,10356,배추,엽경채류,배추,340101
20250120,천안,천안농협(공),엽경채류,배추,쌈배추,10900,10kg 상자,540,배추,엽경채류,배추,340101
20250120,천안,천안농협(공),엽경채류,배추,쌈배추,13475,8kg 상자,104,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,월동배추,11150,12kg 그물망,3444,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,기타배추,3000,1kg 상자,7,배추,엽경채류,배추,340101
20250121,천안,천안청과㈜,엽경채류,배추,저장배추,8400,12kg 상자,1800,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,쌈배추,12000,8kg 상자,176,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,120,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,월동배추,11150,12kg 그물망,3444,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,기타배추,3000,1kg 상자,7,배추,엽경채류,배추,340101
20250121,천안,천안청과㈜,엽경채류,배추,저장배추,8400,12kg 상자,1800,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,쌈배추,12000,8kg 상자,176,배추,엽경채류,배추,340101
20250121,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,120,배추,엽경채류,배추,340101
20250122,천안,천안청과㈜,엽경채류,배추,기타배추,4500,12kg 상자,1308,배추,엽경채류,배추,340101
20250122,천안,천안청과㈜,엽경채류,배추,저장배추,5900,12kg 상자,2184,배추,엽경채류,배추,340101
20250122,천안,천안농협(공),엽경채류,배추,우거지,5000,1kg 상자,4,배추,엽경채류,배추,340101
20250122,천안,천안농협(공),엽경채류,배추,쌈배추,10533.333,8kg 상자,608,배추,엽경채류,배추,340101
20250122,천안,천안청과㈜,엽경채류,배추,우거지,26250,10kg 상자,10,배추,엽경채류,배추,340101
20250122,천안,천안청과㈜,엽경채류,배추,기타배추,4500,12kg 상자,1308,배추,엽경채류,배추,340101
20250122,천안,천안청과㈜,엽경채류,배추,저장배추,5900,12kg 상자,2184,배추,엽경채류,배추,340101
20250122,천안,천안농협(공),엽경채류,배추,우거지,5000,1kg 상자,4,배추,엽경채류,배추,340101
20250122,천안,천안농협(공),엽경채류,배추,쌈배추,10533.333,8kg 상자,608,배추,엽경채류,배추,340101
20250122,천안,천안청과㈜,엽경채류,배추,우거지,26250,10kg 상자,10,배추,엽경채류,배추,340101
20250123,천안,천안농협(공),엽경채류,배추,월동배추,10000,12kg 그물망,36,배추,엽경채류,배추,340101
20250123,천안,천안청과㈜,엽경채류,배추,기타배추,8133.333,10kg 상자,180,배추,엽경채류,배추,340101
20250123,천안,천안농협(공),엽경채류,배추,쌈배추,18000,8kg 상자,80,배추,엽경채류,배추,340101
20250123,천안,천안농협(공),엽경채류,배추,쌈배추,10200,10kg 상자,630,배추,엽경채류,배추,340101
20250123,천안,천안농협(공),엽경채류,배추,기타배추,8460,1kg 상자,17,배추,엽경채류,배추,340101
20250124,천안,천안청과㈜,엽경채류,배추,저장배추,7516.667,12kg 상자,5760,배추,엽경채류,배추,340101
20250124,천안,천안청과㈜,엽경채류,배추,저장배추,12525,12kg 상자,6900,배추,엽경채류,배추,340101
20250124,천안,천안농협(공),엽경채류,배추,기타배추,7365.833,1kg 상자,112,배추,엽경채류,배추,340101
20250124,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,36,배추,엽경채류,배추,340101
20250124,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,60,배추,엽경채류,배추,340101
20250124,천안,천안청과㈜,엽경채류,배추,저장배추,7516.667,12kg 상자,5760,배추,엽경채류,배추,340101
20250124,천안,천안청과㈜,엽경채류,배추,저장배추,12525,12kg 상자,6900,배추,엽경채류,배추,340101
20250124,천안,천안농협(공),엽경채류,배추,기타배추,7365.833,1kg 상자,112,배추,엽경채류,배추,340101
20250124,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,36,배추,엽경채류,배추,340101
20250124,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,60,배추,엽경채류,배추,340101
20250125,천안,천안농협(공),엽경채류,배추,기타배추,4133.333,1kg 상자,32,배추,엽경채류,배추,340101
20250125,천안,천안청과㈜,엽경채류,배추,기타배추,11500,10kg 상자,220,배추,엽경채류,배추,340101
20250125,천안,천안청과㈜,엽경채류,배추,우거지,28875,10kg 상자,0,배추,엽경채류,배추,340101
20250128,천안,천안농협(공),엽경채류,배추,고냉지배추,5000,12kg 상자,600,배추,엽경채류,배추,340101
20250128,천안,천안농협(공),엽경채류,배추,쌈배추,4000,8kg 상자,24,배추,엽경채류,배추,340101
20250131,천안,천안농협(공),엽경채류,배추,기타배추,12742.222,1kg 상자,21,배추,엽경채류,배추,340101
20250131,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,12,배추,엽경채류,배추,340101
20250131,천안,천안농협(공),엽경채류,배추,월동배추,7500,12kg 그물망,660,배추,엽경채류,배추,340101
20250131,천안,천안농협(공),엽경채류,배추,쌈배추,22000,8kg 상자,184,배추,엽경채류,배추,340101
20250203,천안,천안농협(공),엽경채류,배추,기타배추,5275,1kg 상자,51,배추,엽경채류,배추,340101
20250203,천안,천안농협(공),엽경채류,배추,우거지,10000,12kg 상자,12,배추,엽경채류,배추,340101
20250203,천안,천안청과㈜,엽경채류,배추,저장배추,13271.429,12kg 상자,11940,배추,엽경채류,배추,340101
20250203,천안,천안농협(공),엽경채류,배추,월동배추,7500,12kg 그물망,168,배추,엽경채류,배추,340101
20250204,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,84,배추,엽경채류,배추,340101
20250204,천안,천안농협(공),엽경채류,배추,쌈배추,18500,8kg 상자,56,배추,엽경채류,배추,340101
20250204,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,600,배추,엽경채류,배추,340101
20250204,천안,천안농협(공),엽경채류,배추,기타배추,10612.5,1kg 상자,53,배추,엽경채류,배추,340101
20250205,천안,천안농협(공),엽경채류,배추,쌈배추,17000,8kg 상자,32,배추,엽경채류,배추,340101
20250205,천안,천안청과㈜,엽경채류,배추,저장배추,13964.286,12kg 상자,12084,배추,엽경채류,배추,340101
20250205,천안,천안농협(공),엽경채류,배추,기타배추,7042.857,1kg 상자,30,배추,엽경채류,배추,340101
20250205,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,36,배추,엽경채류,배추,340101
20250205,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,120,배추,엽경채류,배추,340101
20250206,천안,천안농협(공),엽경채류,배추,월동배추,7500,12kg 그물망,192,배추,엽경채류,배추,340101
20250206,천안,천안농협(공),엽경채류,배추,쌈배추,15500,8kg 상자,152,배추,엽경채류,배추,340101
20250206,천안,천안농협(공),엽경채류,배추,기타배추,2941.667,1kg 상자,32,배추,엽경채류,배추,340101
20250206,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,36,배추,엽경채류,배추,340101
20250206,천안,천안청과㈜,엽경채류,배추,우거지,26250,10kg 상자,30,배추,엽경채류,배추,340101
20250207,천안,천안농협(공),엽경채류,배추,월동배추,7500,12kg 그물망,276,배추,엽경채류,배추,340101
20250207,천안,천안청과㈜,엽경채류,배추,저장배추,13542.857,12kg 상자,6036,배추,엽경채류,배추,340101
20250207,천안,천안농협(공),엽경채류,배추,쌈배추,17200,10kg 상자,260,배추,엽경채류,배추,340101
20250207,천안,천안농협(공),엽경채류,배추,쌈배추,16000,8kg 상자,56,배추,엽경채류,배추,340101
20250207,천안,천안농협(공),엽경채류,배추,쌈배추,8700,10kg 상자,280,배추,엽경채류,배추,340101
20250208,천안,천안농협(공),엽경채류,배추,기타배추,7357.143,1kg 상자,27,배추,엽경채류,배추,340101
20250208,천안,천안농협(공),엽경채류,배추,쌈배추,20333.333,8kg 상자,112,배추,엽경채류,배추,340101
20250210,천안,천안농협(공),엽경채류,배추,쌈배추,4000,8kg 상자,40,배추,엽경채류,배추,340101
20250210,천안,천안청과㈜,엽경채류,배추,우거지,2630,1kg 상자,3,배추,엽경채류,배추,340101
20250210,천안,천안청과㈜,엽경채류,배추,우거지,26250,10kg 상자,10,배추,엽경채류,배추,340101
20250210,천안,천안농협(공),엽경채류,배추,기타배추,35000,2kg 상자,2,배추,엽경채류,배추,340101
20250210,천안,천안농협(공),엽경채류,배추,기타배추,20400,1kg 상자,10,배추,엽경채류,배추,340101
20250210,천안,천안농협(공),엽경채류,배추,쌈배추,4000,8kg 상자,40,배추,엽경채류,배추,340101
