date,MY_TARGET_ITEM_NAME,countyname_api,avg_price
2025-01-10,Cabbage,Seongnam,4380
2025-01-10,Cabbage,Goyang,4380
2025-01-10,Cabbage,Yongin,3820
2025-01-10,Cabbage,Chuncheon,7550
2025-01-10,Cabbage,Gangneung,3190
2025-01-10,Cabbage,Cheongju,6290
2025-01-10,Cabbage,Cheonan,3820
2025-01-10,Cabbage,Jeonju,5020
2025-01-10,Cabbage,Suncheon,4925
2025-01-10,Cabbage,Pohang,4995
2025-01-10,Cabbage,Andong,3820
2025-01-10,Cabbage,Changwon,4990
2025-01-10,Cabbage,Gimhae,3190
2025-01-10,Cabbage,Jeju,5495
2025-01-13,Cabbage,Seoul,4694
2025-01-13,Cabbage,Busan,5768
2025-01-13,Cabbage,Daegu,4780
2025-01-13,Cabbage,Incheon,5495
2025-01-13,Cabbage,Gwangju,4613
2025-01-13,Cabbage,Daejeon,4560
2025-01-13,Cabbage,Ulsan,5520
2025-01-13,Cabbage,Sejong,3820
2025-01-13,Cabbage,Suwon,4690
2025-01-13,Cabbage,Seongnam,4380
2025-01-13,Cabbage,Goyang,4380
2025-01-13,Cabbage,Yongin,3820
2025-01-13,Cabbage,Chuncheon,7550
2025-01-13,Cabbage,Gangneung,3190
2025-01-13,Cabbage,Cheongju,6455
2025-01-13,Cabbage,Cheonan,3820
2025-01-13,Cabbage,Jeonju,5130
2025-01-13,Cabbage,Suncheon,4870
2025-01-13,Cabbage,Pohang,5160
2025-01-13,Cabbage,Andong,3820
2025-01-13,Cabbage,Changwon,5240
2025-01-13,Cabbage,Gimhae,3190
2025-01-13,Cabbage,Jeju,5495
2025-01-14,Cabbage,Seoul,4604
2025-01-14,Cabbage,Busan,5768
2025-01-14,Cabbage,Daegu,4837
2025-01-14,Cabbage,Incheon,5495
2025-01-14,Cabbage,Gwangju,4613
2025-01-14,Cabbage,Daejeon,4540
2025-01-14,Cabbage,Ulsan,5520
2025-01-14,Cabbage,Sejong,3820
2025-01-14,Cabbage,Suwon,4690
2025-01-14,Cabbage,Seongnam,4380
2025-01-14,Cabbage,Goyang,4380
2025-01-14,Cabbage,Yongin,3820
2025-01-14,Cabbage,Chuncheon,7550
2025-01-14,Cabbage,Gangneung,3190
2025-01-14,Cabbage,Cheongju,6455
2025-01-14,Cabbage,Cheonan,3820
2025-01-14,Cabbage,Jeonju,4965
2025-01-14,Cabbage,Suncheon,4870
2025-01-14,Cabbage,Pohang,5325
2025-01-14,Cabbage,Andong,3820
2025-01-14,Cabbage,Changwon,5240
2025-01-14,Cabbage,Gimhae,3190
2025-01-14,Cabbage,Jeju,5495
2025-01-15,Cabbage,Seoul,4604
2025-01-15,Cabbage,Busan,5442
2025-01-15,Cabbage,Daegu,4727
2025-01-15,Cabbage,Incheon,5660
2025-01-15,Cabbage,Gwangju,4560
2025-01-15,Cabbage,Daejeon,4587
2025-01-15,Cabbage,Ulsan,5520
2025-01-15,Cabbage,Sejong,3820
2025-01-15,Cabbage,Suwon,4855
2025-01-15,Cabbage,Seongnam,4380
2025-01-15,Cabbage,Goyang,4380
2025-01-15,Cabbage,Yongin,3820
2025-01-15,Cabbage,Chuncheon,7550
2025-01-15,Cabbage,Gangneung,3190
2025-01-15,Cabbage,Cheongju,6120
2025-01-15,Cabbage,Cheonan,3820
2025-01-15,Cabbage,Jeonju,5185
2025-01-15,Cabbage,Suncheon,4870
2025-01-15,Cabbage,Pohang,5325
2025-01-15,Cabbage,Andong,3820
2025-01-15,Cabbage,Changwon,5490
2025-01-15,Cabbage,Gimhae,3190
2025-01-15,Cabbage,Jeju,5495
2025-01-16,Cabbage,Seoul,4881
2025-01-16,Cabbage,Busan,5442
2025-01-16,Cabbage,Daegu,4727
2025-01-16,Cabbage,Incheon,5660
2025-01-16,Cabbage,Gwangju,4503
2025-01-16,Cabbage,Daejeon,4587
2025-01-16,Cabbage,Ulsan,5955
2025-01-16,Cabbage,Sejong,3660
2025-01-16,Cabbage,Suwon,5455
2025-01-16,Cabbage,Seongnam,5580
2025-01-16,Cabbage,Goyang,5580
2025-01-16,Cabbage,Yongin,3660
2025-01-16,Cabbage,Chuncheon,7220
2025-01-16,Cabbage,Gangneung,3190
2025-01-16,Cabbage,Cheongju,6205
2025-01-16,Cabbage,Cheonan,3660
2025-01-16,Cabbage,Jeonju,4940
2025-01-16,Cabbage,Suncheon,4815
2025-01-16,Cabbage,Pohang,5325
2025-01-16,Cabbage,Andong,3660
2025-01-16,Cabbage,Changwon,5410
2025-01-16,Cabbage,Gimhae,3190
2025-01-16,Cabbage,Jeju,5495
2025-01-17,Cabbage,Seoul,4710
2025-01-17,Cabbage,Busan,4993
2025-01-17,Cabbage,Daegu,4727
2025-01-17,Cabbage,Incheon,5495
2025-01-17,Cabbage,Gwangju,4503
2025-01-17,Cabbage,Daejeon,4530
2025-01-17,Cabbage,Ulsan,5355
2025-01-17,Cabbage,Sejong,3660
2025-01-17,Cabbage,Suwon,5330
2025-01-17,Cabbage,Seongnam,4380
2025-01-17,Cabbage,Goyang,4380
2025-01-17,Cabbage,Yongin,3660
2025-01-17,Cabbage,Chuncheon,6880
2025-01-17,Cabbage,Gangneung,3190
2025-01-17,Cabbage,Cheongju,5690
2025-01-17,Cabbage,Cheonan,3660
2025-01-17,Cabbage,Jeonju,4940
2025-01-17,Cabbage,Suncheon,4815
2025-01-17,Cabbage,Pohang,5325
2025-01-17,Cabbage,Andong,3660
2025-01-17,Cabbage,Changwon,5410
2025-01-17,Cabbage,Gimhae,3190
2025-01-17,Cabbage,Jeju,5550
2025-01-20,Cabbage,Seoul,4611
2025-01-20,Cabbage,Busan,4993
2025-01-20,Cabbage,Daegu,4727
2025-01-20,Cabbage,Incheon,5660
2025-01-20,Cabbage,Gwangju,4503
2025-01-20,Cabbage,Daejeon,4447
2025-01-20,Cabbage,Ulsan,5190
2025-01-20,Cabbage,Sejong,3660
2025-01-20,Cabbage,Suwon,4855
2025-01-20,Cabbage,Seongnam,4380
2025-01-20,Cabbage,Goyang,4780
2025-01-20,Cabbage,Yongin,3660
2025-01-20,Cabbage,Chuncheon,6880
2025-01-20,Cabbage,Gangneung,3190
2025-01-20,Cabbage,Cheongju,5690
2025-01-20,Cabbage,Cheonan,3660
2025-01-20,Cabbage,Jeonju,4830
2025-01-20,Cabbage,Suncheon,4870
2025-01-20,Cabbage,Pohang,5325
2025-01-20,Cabbage,Andong,3660
2025-01-20,Cabbage,Changwon,5410
2025-01-20,Cabbage,Gimhae,3190
2025-01-20,Cabbage,Jeju,5550
2025-01-21,Cabbage,Seoul,4570
2025-01-21,Cabbage,Busan,5235
2025-01-21,Cabbage,Daegu,4727
2025-01-21,Cabbage,Incheon,5495
2025-01-21,Cabbage,Gwangju,4393
2025-01-21,Cabbage,Daejeon,4447
2025-01-21,Cabbage,Ulsan,5355
2025-01-21,Cabbage,Sejong,3660
2025-01-21,Cabbage,Suwon,4855
2025-01-21,Cabbage,Seongnam,4380
2025-01-21,Cabbage,Goyang,4780
2025-01-21,Cabbage,Yongin,3660
2025-01-21,Cabbage,Chuncheon,6770
2025-01-21,Cabbage,Gangneung,3190
2025-01-21,Cabbage,Cheongju,5855
2025-01-21,Cabbage,Cheonan,3660
2025-01-21,Cabbage,Jeonju,4830
2025-01-21,Cabbage,Suncheon,4870
2025-01-21,Cabbage,Pohang,5325
2025-01-21,Cabbage,Andong,3660
2025-01-21,Cabbage,Changwon,5410
2025-01-21,Cabbage,Gimhae,3190
2025-01-21,Cabbage,Jeju,5715
2025-01-22,Cabbage,Seoul,4561
2025-01-22,Cabbage,Busan,5235
2025-01-22,Cabbage,Daegu,4727
2025-01-22,Cabbage,Incheon,5435
2025-01-22,Cabbage,Gwangju,4393
2025-01-22,Cabbage,Daejeon,4393
2025-01-22,Cabbage,Ulsan,5275
2025-01-22,Cabbage,Sejong,3660
2025-01-22,Cabbage,Suwon,4940
2025-01-22,Cabbage,Seongnam,4220
2025-01-22,Cabbage,Goyang,4220
2025-01-22,Cabbage,Yongin,3660
2025-01-22,Cabbage,Chuncheon,7000
2025-01-22,Cabbage,Gangneung,3190
2025-01-22,Cabbage,Cheongju,5775
2025-01-22,Cabbage,Cheonan,3660
2025-01-22,Cabbage,Jeonju,4830
2025-01-22,Cabbage,Suncheon,4925
2025-01-22,Cabbage,Pohang,5325
2025-01-22,Cabbage,Andong,3660
2025-01-22,Cabbage,Changwon,5410
2025-01-22,Cabbage,Gimhae,3190
2025-01-22,Cabbage,Jeju,5715
2025-01-23,Cabbage,Seoul,4504
2025-01-23,Cabbage,Busan,5375
2025-01-23,Cabbage,Daegu,4860
2025-01-23,Cabbage,Incheon,5355
2025-01-23,Cabbage,Gwangju,4913
2025-01-23,Cabbage,Daejeon,4913
2025-01-23,Cabbage,Ulsan,5275
2025-01-23,Cabbage,Sejong,3660
2025-01-23,Cabbage,Suwon,5275
2025-01-23,Cabbage,Seongnam,4220
2025-01-23,Cabbage,Goyang,3580
2025-01-23,Cabbage,Yongin,3660
2025-01-23,Cabbage,Chuncheon,7000
2025-01-23,Cabbage,Gangneung,3750
2025-01-23,Cabbage,Cheongju,5775
2025-01-23,Cabbage,Cheonan,3660
2025-01-23,Cabbage,Jeonju,4830
