date,cabbage,radish,garlic,onion,daikon,cilantro,artichoke,cabbage_pred_Ridge,radish_pred_Ridge,garlic_pred_Ridge,onion_pred_Ridge,daikon_pred_Ridge,cilantro_pred_Ridge,artichoke_pred_Ridge,cabbage_pred_RandomForestRegressor,radish_pred_RandomForestRegressor,garlic_pred_RandomForestRegressor,onion_pred_RandomForestRegressor,daikon_pred_RandomForestRegressor,cilantro_pred_RandomForestRegressor,artichoke_pred_RandomForestRegressor,cabbage_pred_LGBM,radish_pred_LGBM,garlic_pred_LGBM,onion_pred_LGBM,daikon_pred_LGBM,cilantro_pred_LGBM,artichoke_pred_LGBM,cabbage_pred_XGBoost,radish_pred_XGBoost,garlic_pred_XGBoost,onion_pred_XGBoost,daikon_pred_XGBoost,cilantro_pred_XGBoost,artichoke_pred_XGBoost,cabbage_pred_MLP,radish_pred_MLP,garlic_pred_MLP,onion_pred_MLP,daikon_pred_MLP,cilantro_pred_MLP,artichoke_pred_MLP
2021-02-05,2126.5,566.97,4280.94,1697.02,4321.84,4189.68,8251.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,2088.14,517.92,4023.72,1583.39,4300.65,3772.16,8301.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,553.2,356.68,4023.72,1030.0,3772.44,3772.16,7213.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,1413.05,498.32,4938.39,1580.08,4050.77,4999.2,7571.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,1881.12,523.13,4392.64,1650.08,3908.49,4696.51,7976.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,1992.89,329.9,4077.55,1717.71,3539.99,4627.84,7919.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,2185.93,541.65,5901.44,1598.68,3450.35,4595.28,6406.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2185.93,541.65,5901.44,1598.68,3450.35,4595.28,6406.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,2185.93,541.65,5901.44,1598.68,3450.35,4595.28,6406.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,2185.93,541.65,5901.44,1598.68,3450.35,4595.28,6406.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
